Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
科,과,과목,,"科 - 과 (a course or  branch of study; a department or  a faculty)
科學 - 과학 (science)
科學的 - 과학적인 (scientific)
科擧 - 과거 (the state examination)
學科 - 학과 (department (college, university))
科學者 - 과학자 (scientist)
","斗, 禾",6II,5II
過,과,지날,,"過程 - 과정 (process or course)
過去 - 과거 (the past)
大過去 - 대과거 (pluperfect)
謝過 - 사과 (an apology)
謝過- - 사과하다 (to apologize)
通過 - 통과 (pass through)
","冂, 込, 口",5II,4II
誇,과,자랑할,,"誇張 - 과장 (exaggeration)
誇示 - 과시 (ostentation)
誇示 - 과시하다 (display)
","二, 勹, 大, 言",3II,2
寡,과,적을,,"寡婦 - 과부 (widow)
","一, 八, 刀, 宀, 自",3II,2
郭,곽,성곽,,"胸郭 - 흉곽 (chest)
","亅, 亠, 口, 子, 邦",3,2
官,관,벼슬,,"官吏 - 관리 (a government official)
長官 - 장관 (secretary)
警官 - 경관 (policeman)
警察官 - 경찰관 (a policeman)
次官 - 차관 (undersecretary)
裁判官 - 재판관 (judge)
","口, 宀",4II,3II
觀,관,볼,,"壯觀 - 장관 (spectacle)
觀光 - 관광 (sightseeing, tourism)
觀察 - 관찰 (observation, survey)
觀察- - 관찰하다 (observe, view, watch)
觀客 - 관객 (spectator)
觀點 - 관점 (a point of view or a standpoint; outlook)
","十, 口, 艾, 見, 隹",5II,4II
關,관,빗장,,"關聯 - 관련 (relation)
關係 - 관계 (relation)
關心 - 관심 (interest)
機關 - 기관 (engine)
人間關係 - 인간관계 (human relations)
無關心 - 무관심 (apathy, indifference)
","幺, 門",5II,4II
館,관,집,,"圖書館 - 도서관 (library)
博物館 - 박물관 (museum)
體育館 - 체육관 (gymnasium)
美術館 - 미술관 (art gallery)
會館 - 회관 (an assembly hall)
大使館 - 대사관 (embassy)
","口, 宀, 食",3II,2
管,관,대롱,,"管理 - 관리 (control)
管理 - 관리하다 (control)
氣管 - 기관 (trachea)
保管 - 보관 (storage)
血管 - 혈관 (blood vessel)
信管 - 신관 (fuse)
","口, 宀, 竹",4,3
貫,관,꿸,,"貫通 - 관통하다 (pierce)
貫祿 - 관록 (dignity)
","母, 貝",3II,2
慣,관,익숙할,,"習慣 - 습관 (habit)
慣習 - 관습 (custom, convention)
慣例 - 관례 (custom)
","忙, 母, 貝",3II,2
冠,관,갓,,"王冠 - 왕관 (diadem)
","儿, 冖, 寸",3II,2
寬,관,너그러울,,"寬大 - 관대 (generous)
",,3II,2
光,광,빛,,"光州 - 광주 (region surrounding Seoul)
觀光 - 관광 (sightseeing, tourism)
榮光 - 영광 (glory)
觀光客 - 관광객 (a tourist)
觀光地 - 관광지 (tourist attraction)
光景 - 광경 (scene)
","一, 儿, 尚",6II,5II
廣,광,넓을,,"廣告 - 광고 (advertisement)
廣場 - 광장 (plaza, public square)
","八, 广, 田, 黄",5II,4II
鑛,광,쇳돌,,"鑛物 - 광물 (mineral)
原鑛 - 원광 (ore)
鑛石 - 광석 (ore)
炭鑛 - 탄광 (coal mine)
採鑛 - 채광 (mining)
鑛脈 - 광맥 (streak)
","八, 广, 田, 金, 黄",4,3
狂,광,미칠,,"發狂 - 발광 (craziness)
發狂 - 발광하다 (rage)
狂氣 - 광기 (madness)
狂亂 - 광란 (frenzy)
狂犬病 - 광견병 (rabies)
狂想曲 - 광상곡 (rhapsody)
","犯, 王",3II,2
掛,괘,걸,,,"卜, 土, 扎",3,2
塊,괴,흙덩이,,"塊莖 - 괴경 (tuber)
血塊 - 혈괴 (blood clot)
","儿, 匕, 厶, 土, 田, 鬼",3,2
愧,괴,부끄러울,,,"儿, 匕, 忙, 田, 鬼",3,2
怪,괴,기이할,,"怪物 - 괴물 (monster)
妖怪 - 요괴 (apparition)
怪談 - 괴담 (ghost story)
","又, 土, 忙",3II,2
壞,괴,무너질,,"破壞 - 파괴 (destruction)
破壞的 - 파괴적인 (destructive)
破壞者 - 파괴자 (waster)
壞血病 - 괴혈병 (scurvy)
","亠, 土, 買, 衣",3II,2
交,교,사귈,,"交通 - 교통 (traffic)
交換 - 교환 (reciprocity)
交換 - 교환하다 (exchange)
交流 - 교류 (alternating current)
交替 - 교체 (relief)
外交 - 외교 (diplomacy)
","亠, 父",6,5
校,교,학교,,"學校 - 학교 (school)
學校生活 - 학교생활 (student)
大學校 - 대학교 (college, university)
高等學校 - 고등학교 (high school)
初等學校 - 초등학교 (elementary school)
中學校 - 중학교 (junior high school)
","亠, 木, 父",8,6II
橋,교,다리,,"橋頭堡 - 교두보 (bridgehead)
陸橋 - 육교 (overpass)
棧橋 - 잔교 (jetty)
吊橋 - 적교 (suspension bridge)
艦橋 - 함교 (bridge)
","ノ, 冂, 口, 木",5,4
敎,교,가르칠,,"敎育 - 교육 (education)
敎授 - 교수 (teaching;  instruction)
敎會 - 교회 (preach or  moral instruction)
大學敎授 - 대학교수 (university professor)
宗敎 - 종교 (religion, a faith)
宗敎的 - 종교적 (religious, spiritual)
",,8,6II
郊,교,들,,"郊外 - 교외 (suburb)
近郊 - 근교 (suburbs)
","亠, 邦, 父",3,2
較,교,견줄,,"比較 - 비교 (comparison)
比較的 - 비교적 (comparatively)
日較差 - 일교차 (daily temperature range)
","亠, 父, 車",3II,2
巧,교,공교할,,"技巧 - 기교 (technique)
","一, 勹, 工",3II,2
矯,교,바로잡을,,"矯正 - 교정 (correction)
矯正 - 교정하다 (remedy)
","ノ, 冂, 口, 大, 矢",3,2
九,구,아홉,,"九 - 구 (9)
九十 - 구십 (90)
九月 - 구월 (September)
",九,8,6II
口,구,입,,"人口 - 인구 (population)
入口 - 입구 (entrance)
出口 - 출구 (way out)
家口 - 가구 (family; household)
港口 - 항구 (a port, a harbor)
食口 - 식구 (members of a family, your immediate family members (lit. people you eat with))
",囗,"Reading error 口, 187","Writing error 口, 187"
求,구,구할,,"要求 - 요구 (request)
要求 - 요구하다 (requisition)
求- - 구하다 (to buy, purchase; to look for, to seek, to want)
請求 - 청구 (request)
請求 - 청구하다 (ask)
慾求 - 욕구 (desire)
","一, 丶, 水",4II,3II
救,구,건질,,"救助 - 구조하다 (rescue)
救- - 구하다 (rescue a person)
救援 - 구원 (rescue)
救濟 - 구제 (salvation)
救出 - 구출 (rescue)
救出 - 구출하다 (rescue)
","丶, 攵, 水",5,4
究,구,연구할,,"硏究 - 연구 (research)
硏究- - 연구하다 (to research, investigate)
硏究所 - 연구소 (a reasearch institute)
硏究員 - 연구원 (researcher)
硏究室 - 연구실 (a laboratory)
探究 - 탐구 (research)
","儿, 九, 宀, 穴",4II,3II
久,구,오랠,,"永久 - 영구 (eternity)
","ノ, 入",3II,2
句,구,글귀,,"文句 - 문구 (passage, paragraph)
高句麗 - 고구려 (region surrounding Seoul)
","勹, 口",,3II
舊,구,예,,"親舊 - 친구 (a friend)
復舊 - 복구 (restoration)
舊市街地 - 구시가지 (an old section of a city)
","艾, 臼, 隹",5II,4II
具,구,갖출,,"器具 - 기구 (utensil)
道具 - 도구 (tool)
具體的 - 구체적 (concretely)
家具 - 가구 (furniture)
工具 - 공구 (tool)
寢具 - 침구 (bedding)
","一, 八, 目",5II,4II
俱,구,함께,,,,3,2
區,구,구분할,,"區 - 구 (ward or  district)
地區 - 지구 (district)
區域 - 구역 (zone)
區分 - 구분 (sorting)
區間 - 구간 (section, area between one point and another)
區別 - 구별 (distinction)
","匚, 口, 品",6,5
驅,구,몰,,"驅逐艦 - 구축함 (destroyer)
先驅者 - 선구자 (pioneer)
","匚, 口, 品, 馬",3,2
苟,구,진실로,,,"勹, 口, 艾",3,2
拘,구,잡을,,"不拘- - 불구하다 (deformity, malformation)
拘束 - 구속 (restriction)
拘留 - 구류 (detention)
","勹, 口, 扎",3II,2
狗,구,개,,"走狗 - 주구 (running dog)
","勹, 口, 犯",3,2
丘,구,언덕,,,"一, 斤",3II,2
懼,구,두려워할,,,"忙, 目, 隹",3,2
龜,구,"땅, 이름","""거북 귀"", ""터질 균""으로도 읽는다.",,亀,3,2
構,구,얽을,,"構成 - 구성 (organization)
構造 - 구조 (construction)
機構 - 기구 (organization)
構成員 - 구성원 (member)
構圖 - 구도 (composition)
構想 - 구상 (conception)
","一, 冂, 十, 木",4,3
球,구,공,,"蹴球 - 축구 (soccer)
地球 - 지구 (earth)
野球 - 야구 (baseball)
籠球 - 농구 (basketball)
氣球 - 기구 (balloon)
球體 - 구체 (sphere)
","丶, 水, 王",6II,5II
國,국,나라,,"韓國 - 한국 (Korea)
美國 - 미국 (United States of America)
中國 - 중국 (China)
國家 - 국가 (state)
國家的 - 국가적 (national, state)
國民 - 국민 (people)
","口, 囗, 戈",8,6II
菊,국,국화,,"菊花 - 국화 (chrysanthemum)
除蟲菊 - 제충국 (pyrethrum)
","勹, 艾, 米",3II,2
局,국,판,,"結局 - 결국 (after all; in the end)
郵遞局 - 우체국 (a post office)
放送局 - 방송국 (broadcasting station)
藥局 - 약국 (pharmacy)
局限 - 국한하다 (localize)
局面 - 국면 (aspect)
","口, 尸",5II,4II
君,군,임금,,"君 - 군 (Mister)
君主 - 군주 (monarch)
大君 - 대군 (prince)
君臨 - 군림 (reign)
君臨 - 군림하다 (reign)
暴君 - 폭군 (tyrant)
","一, ノ, 口, 日",4,3
郡,군,고을,,"郡 - 군 (a county or district)
","一, 口, 邦",6,5
軍,군,군사,,"軍 - 군 (an army)
軍隊 - 군대 (troop)
軍人 - 군인 (soldier)
軍士 - 군사 (a soldier, a private)
將軍 - 장군 (general)
海軍 - 해군 (navy)
","冖, 車",8,6II
群,군,무리,,"症候群 - 증후군 (syndrome)
群衆 - 군중 (throng)
群島 - 군도 (archipelago)
群集 - 군집하다 (crowd)
","一, 八, 口, 王, 羊",4,3
屈,굴,굽힐,,"屈辱 - 굴욕 (humiliation)
屈辱的 - 굴욕적인 (humiliating)
屈光性 - 굴광성 (phototropism)
屈地性 - 굴지성 (geotropism)
","｜, 尸, 山",4,3
弓,궁,활,,"弓術 - 궁술 (archery)
",弓,3II,2
宮,궁,집,,"子宮 - 자궁 (womb)
宮殿 - 궁전 (palace)
景福宮 - 경복궁 (Gyeongbokgung Palace)
迷宮 - 미궁 (labyrinth)
古宮 - 고궁 (an ancient palace)
後宮 - 후궁 (seraglio)
","口, 宀",4II,3II
窮,궁,다할,,"窮極的 - 궁극적 (finally or in the end, 마지막으로)
無窮花 - 무궁화 (hibiscus, rose of Sharon)
窮地 - 궁지 (dilemma)
窮境 - 궁경 (predicament)
無窮 - 무궁 (infinitude)
","儿, 宀, 弓, 穴, 身",4,3
卷,권,책,,"卷 - 권 (a volume, a book (counter))
卷積雲 - 권적운 (cirrocumulus)
","二, 人, 八, 卩, 大",4,3
權,권,권세,,"選擇權 - 선택권 (option)
政治權 - 정치권 (political rights)
權利 - 권리 (right)
權力 - 권력 (power)
人權 - 인권 (human right)
權限 - 권한 (authority)
","十, 口, 艾, 木, 隹",4II,3II
勸,권,권할,,"勸- - 권하다 (advise, persuade, recommend)
勸告 - 권고 (recommendation)
勸誘 - 권유 (solicitation)
","力, 十, 口, 艾, 隹",4,3
拳,권,주먹,,"拳鬪 - 권투 (boxing)
跆拳道 - 태권도 (Taekwondo)
","一, 八, 大, 手",3II,2
券,권,문서,,"證券 - 증권 (security)
旅券 - 여권 (a passport)
株券 - 주권 (stock certificate)
食券 - 식권 (meal ticket)
證券社 - 증권사 (securities corporation)
","一, 二, 人, 八, 刀, 大",4,3
厥,궐,그,,,"八, 厂, 屮, 欠",3,2
軌,궤,"바퀴, 자국",,,"九, 車",3,2
貴,귀,귀할,,"貴族 - 귀족 (noble)
貴重- - 귀중하다 (to be precious)
貴- - 귀하다 (noble, high; dear; lovable, precious)
珍貴 - 진귀하다 (to be rare)
貴婦人 - 귀부인 (lady)
騰貴 - 등귀 (rise)
","一, ｜, 口, 貝",5,4
歸,귀,돌아갈,,"復歸 - 복귀 (return)
歸國 - 귀국 (returning to one's home country)
歸國- - 귀국하다 (to return to one's home country)
歸還 - 귀환 (return)
回歸 - 회귀 (revolution)
歸家 - 귀가 (returning home)
","冖, 口, 巾, ヨ, 止",4,3
鬼,귀,귀신,,"鬼神 - 귀신 (a ghost)
吸血鬼 - 흡혈귀 (bloodsucker)
鬼才 - 귀재 (wizard)
","儿, 匕, 厶, 田, 鬼",3II,2
叫,규,부르짖을,,"絶叫 - 절규 (exclamation)
","｜, 十, 口",3,2
規,규,법,,"規模 - 규모 (scale)
大規模 - 대규모 (on  a large scale)
規定 - 규정 (regulation)
規則 - 규칙 (rule)
規則的 - 규칙적인 (regular)
新規 - 신규 (start anew)
","土, 大, 見",5,4
糾,규,얽힐,,"糾合 - 규합하다 (rally)
","｜, 十, 糸",3,2
均,균,고를,,"平均 - 평균 (average)
均衡 - 균형 (equilibrium)
不均衡 - 불균형 (imbalance)
年平均 - 연평균 (yearly average)
均一 - 균일 (uniform)
","二, 冫, 勹, 土",4,3
菌,균,버섯,,"細菌 - 세균 (germ)
球菌 - 구균 (coccus)
殺菌 - 살균 (sterilization)
滅菌 - 멸균 (sterilization)
菌絲 - 균사 (hypha)
保菌者 - 보균자 (carrier)
","囗, 艾, 禾",3II,2
極,극,다할,,"積極 - 적극 (the positive)
積極的 - 적극적인 (positive)
極端 - 극단 (extremity)
窮極的 - 궁극적 (finally or in the end, 마지막으로)
極度 - 극도 (extreme)
極- - 극히 (exceedingly,  extremely)
","一, 又, 口, 木",4II,3II
克,극,이길,,"克服 - 극복 (conquest, subjugation)
克服- - 극복하다 (to overcome; surmount)
克己 - 극기 (self denial)
","儿, 十, 口",3II,2
劇,극,심할,,"劇 - 극 (drama, play)
劇場 - 극장 (cinema, theater)
演劇 - 연극 (drama, a play)
悲劇 - 비극 (tragedy)
悲劇的 - 비극적인 (tragic)
笑劇 - 소극 (farce)
","刈, 匕, 卜, 厂, 虍, 豕",4,3
近,근,가까울,,"最近 - 최근 (recently)
接近 - 접근하다 (approach)
近處 - 근처 (nearby, in the vicinity)
隣近 - 인근 (neighborhood)
近代的 - 근대적인 (modern)
附近 - 부근 (neighborhood, vicinity)
","込, 斤","Reading error 近, 235","Writing error 近, 235"
勤,근,부지런할,,"勤務 - 근무 (service)
出勤 - 출근 (go to work)
出勤- - 출근하다 (to go to work)
退勤 - 퇴근 (get off work, leaving the office, return home from work)
退勤- - 퇴근하다 (to go home from work)
勤勞者 - 근로자 (laborer)
","力, 口, 土, 艾",4,3
根,근,뿌리,,"根據 - 근거 (foundation)
根本 - 근본 (root, foundation, basis)
根本的 - 근본적인 (fundamental)
根源 - 근원 (source)
根絶 - 근절 (eradication)
球根 - 구근 (bulb)
","木, 艮",6,5
斤,근,도끼,,,斤,3,2
僅,근,겨우,,,"化, 口, 土, 艾",3,2
謹,근,삼갈,,,"口, 土, 艾, 言",3,2
金,금,쇠,"""성 김""으로도 읽는다.","現金 - 현금 (ready money)
賃金 - 임금 (wage)
金曜日 - 금요일 (Friday)
料金 - 요금 (fee)
金浦空港 - 김포공항 (Gimpo airport)
基金 - 기금 (fund)
",金,8,6II
今,금,이제,,"只今 - 지금 (now)
方今 - 방금 (now)
今方 - 금방 (just now;  a moment ago)
只今- - 지금껏 (so far, till now)
今年 - 금년 (this year)
今後 - 금후 (hereafter)
",个,6II,5II
禁,금,금할,,"禁止 - 금지 (prohibition)
禁止 - 금지하다 (ban)
禁- - 금하다 (prohibit, ban, forbid)
監禁 - 감금 (confinement)
禁錮 - 금고 (imprisonment)
禁煙 - 금연 (prohibition of smoking)
","木, 示",4II,3II
錦,금,비단,,,"巾, 白, 金",3II,2
禽,금,날짐승,,"家禽 - 가금 (poultry)
鳴禽 - 명금 (songbird)
","丶, ノ, 亠, 个, 冂, 凵, 厶, 禹",3II,2
琴,금,거문고,,"木琴 - 목금 (xylophone)
","个, 王",3II,2
及,급,미칠,,"言及 - 언급 (reference)
普及 - 보급 (spread)
","丶, 乃, 及",3II,2
給,급,줄,,"供給 - 공급 (supply)
供給 - 공급하다 (supply)
支給 - 지급 (supply, pay)
支給- - 지급하다 (to provide, pay, allow, provision)
補給 - 보급 (supply)
月給 - 월급 (monthly salary)
","个, 口, 糸",5,4
急,급,급할,,"緊急 - 긴급 (emergency)
急- - 급하다 (be urgent, pressing, iminent)
急激- - 급격히 (rapidly, suddenly)
急- - 급히 (fast, quickly, in a hurry)
急增- - 급증하다 (surge, sudden rapid increase)
急速- - 급속히 (rapidly, swiftly)
","勹, ヨ, 心",6II,5II
級,급,등급,,"級 - 급 (class, grade, rank)
高級 - 고급 (high rank; first class)
高級- - 고급스럽다 (to be high-class)
最高級 - 최고급 (the highest grade/class)
階級 - 계급 (rank)
特級 - 특급 (in a special class)
","ノ, 及, 糸",6,5
肯,긍,즐길,,"肯定的 - 긍정적 (affirmation, admission)
","月, 止",3,2
己,기,몸,,"自己 - 자기 (self)
克己 - 극기 (self denial)
利己主義 - 이기주의 (egoism)
",已,5II,4II
記,기,기록할,,"記錄 - 기록 (a record,  a document)
記述- - 기술하다 (description, depiction)
記錄- - 기록하다 (to record, write down)
記錄- - 기록되다 (to be recorded or written down)
記憶 - 기억 (remembrance)
記事 - 기사 (report)
","已, 言",7II,6
起,기,일어날,,"起源 - 기원 (origin)
起訴 - 기소 (prosecution)
起床 - 기상 (rising)
想起 - 상기 (recollection)
想起 - 상기하다 (remember)
惹起 - 야기하다 (induce)
","土, 已, 走",4II,3II
其,기,그,,"其他 - 기타 (the others or  the rest)
各其 - 각기 (each, respectively)
","一, 八, 甘",3II,2
期,기,기약할,,"期待 - 기대 (hope)
期間 - 기간 (term)
後期 - 후기 (the latter term/period)
前期 - 전기 (the former period/term)
時期 - 시기 (period of time)
延期 - 연기 (postponement, deferment)
","八, 月, 甘",5,4
基,기,터,,"基準 - 기준 (a standard or basis)
基本 - 기본 (a foundation)
基本的 - 기본적 (fundamental, basic)
基礎 - 기초 (foundation)
基礎的 - 기초적 (fundamental, basic)
基督敎 - 기독교 (Christianity)
","一, 八, 土, 甘",5II,4II
氣,기,기운,,"磁氣 - 자기 (magnetism)
氣 - 기13 (energy; breath or  wind)
景氣 - 경기 (the business market's state)
氣分 - 기분 (mood)
氣管 - 기관 (trachea)
人氣 - 인기 (popularity)
","气, 米",7II,6
技,기,재주,,"餘技 - 여기 (avocation)
競技 - 경기 (game)
技術 - 기술 (art or  technique or  ability)
技師 - 기사 (engineer)
技能 - 기능 (ability, capacity, skill)
演技 - 연기 (performance)
","十, 又, 扎, 支",5,4
幾,기,기미,,,"ノ, 幺, 戈",3,2
旣,기,이미,,"旣成 - 기성 (pre-existing, established)
旣成世代 - 기성세대 (older generation)
旣婚 - 기혼 (married)
",,3,2
紀,기,벼리,,"世紀 - 세기 (century)
紀元 - 기원 (era)
西紀 - 서기 (A.D. (Anno Domini))
紀元前 - 기원전 (B.C.)
","已, 糸",4,3
忌,기,꺼릴,,,"已, 心",3,2
旗,기,기,,"旗 - 기 (flag, ensign, pennant)
國旗 - 국기 (national flag)
旗幟 - 기치 (banner)
軍旗 - 군기 (ensign)
旗艦 - 기함 (flagship)
","八, 方, 甘",7,6
欺,기,속일,,"詐欺 - 사기 (swindle)
","八, 欠, 甘",3,2
奇,기,기특할,,"奇術 - 기술 (magic)
奇蹟 - 기적 (miracle)
神奇- - 신기하다 (to be amazing, marvelous, wonderful)
好奇心 - 호기심 (curiosity)
奇襲 - 기습 (surprise attack)
奇形 - 기형 (freak)
","一, 亅, 口, 大",4,3
騎,기,"말, 탈",,"騎手 - 기수 (rider)
輕騎兵 - 경기병 (light cavalry)
槍騎兵 - 창기병 (lancer)
","一, 亅, 口, 大, 馬",3II,2
寄,기,부칠,,"寄與 - 기여 (contribution)
寄與- - 기여하다 (contribute, add to)
寄附 - 기부 (contribution)
寄宿舍 - 기숙사 (a hostel; residence hall)
寄贈者 - 기증자 (donor)
","一, 亅, 口, 大, 宀",4,3
豈,기,어찌,,,"八, 口, 山, 豆",3,2
棄,기,버릴,,"抛棄 - 포기 (resignation)
遺棄 - 유기 (desertion)
棄兒 - 기아 (foundling)
廢棄 - 폐기 (repeal)
廢棄 - 폐기하다 (scrap)
自暴自棄 - 자포자기 (desperation)
","一, 亠, 凵, 厶, 木",3,2
祈,기,빌,,"祈禱 - 기도 (a prayer)
祈禱- - 기도하다 (to pray)
祈願 - 기원 (prayer)
","斤, 礼",3II,2
企,기,꾀할,,"企業 - 기업 (enterprise)
大企業 - 대기업 (big enterprise)
企劃 - 기획 (plan, project)
企圖 - 기도하다 (propose)
中小企業 - 중소기업 (small and medium enterprises)
企業人 - 기업인 (businessman, entrepreneur)
","个, 止",3II,2
