Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
巡,순,돌아다닐,,"巡禮 - 순례하다 (pilgrimage)
","込, 川",3II,2,6,"patrol,  go  on  circuit,  cruise "
戌,술,개,,,"ノ, 戈",3,2,6,th  terrestrial  branch 
述,술,펼,,"記述- - 기술하다 (description, depiction)
","丶, 十, 込, 木",3II,2,8,"narrate,  state,  express "
術,술,재주,,"技術 - 기술 (art or  technique or  ability)
","丶, 十, 彳, 木, 行",6II,5II,11,"art,  skill,  special  feat;  method,  technique "
崇,숭,높을,,"崇拜 - 숭배 (worship)
","宀, 山, 示",4,3,11,"esteem,  honor,  revere,  venerate "
習,습,익힐,,"練習 - 연습 (practice, exercise)
","冫, 白, 羽",6,5,11,practice;  flapping  wings 
拾,습,주울,,,"个, 口, 扎",3II,2,9,"pick  up,  collect,  tidy  up;  accounting  form  of  the  numeral  ten "
濕,습,젖을/축축할,,"濕氣 - 습기 (moisture)
","幺, 汁, 日, 杰",3II,2,17,"wet,  moist,  humid,  damp;  an  illness "
襲,습,엄습할,,"奇襲 - 기습 (surprise attack)
","月, 立, 衣",3II,2,23,"raid,  attack;  inherit "
乘,승,탈,,"乘客 - 승객 (passenger)
","ノ, 八, 匕, 十, 爿",3II,2,10,"ride,  ascend;  avail  oneself  of;  numerary  adjunct  for  vehicles "
承,승,이을/받들,,"承認 - 승인 (recognition)
","ノ, 亅, 二, マ, 手",4II,3II,8,"inherit,  receive;  succeed "
勝,승,이길/뛰어날,,"勝利 - 승리 (win)
","二, 人, 八, 力, 大, 月",6,5,12,"victory;  excel,  be  better  than "
昇,승,오를,,"上昇 - 상승 (rising)
","ノ, 十, 廾, 日",3II,2,8,"rise,  ascent;  peaceful;  peace "
僧,승,중,,"高僧 - 고승 (high priest)
","化, 八, 日, 田",3II,2,14,"uddhist  priest,  monk;  san  of  anskrit  sangha "
市,시,저자,,"市 - 시 (city)
","亠, 巾",7II,6,5,"market,  fair;  city,  town;  trade "
示,시,보일,,"展示場 - 전시장 (an exhibition hall)
",示,5,4,5,"show,  manifest;  demonstrate "
是,시,옳을,,"亦是 - 역시 (as expected, likewise)
","日, 疋",4II,3II,9,"indeed,  yes,  right;  to  be;  demonstrative  pronoun,  this,  that "
時,시,때,,"時 - 시 (time)
","土, 寸, 日",7II,6,10,"time,  season;  era,  age,  period "
詩,시,시,,"詩 - 시 (poetry, lines of verse)
","土, 寸, 言",4II,3II,13,"poetry;  poem,  verse,  ode "
視,시,볼,,"重要視- - 중요시하다 (emphasize, regard sth as important, to be crucial)
","礼, 見",4II,3II,11,"look  at,  inspect,  observe,  see "
施,시,베풀,,"施設 - 시설 (facility)
","一, ノ, 也, 方",4II,3II,9,"grant,  bestow;  give;  act;  name "
試,시,시험,,"試驗 - 시험 (examination)
","工, 弋, 言",4II,3II,13,"test,  try,  experiment "
始,시,비로소,,"始作 - 시작 (the beginning)
","厶, 口, 女",6II,5II,8,"begin,  start;  then,  only  then "
矢,시,화살,,,"一, ノ, 大",3,2,5,"arrow,  dart;  vow,  swear "
侍,시,모실,,"侍從 - 시종 (chamberlain)
","化, 土, 寸",3II,2,8,"serve,  attend  upon;  attendant,  servant;  samurai "
氏,씨,성씨,,"氏 - 씨 (Mister)
",氏,4,3,4,"clan,  family;  mister "
食,식,먹을,,"飮食 - 음식 (food)
",食,7II,6,9,eat;  meal;  food;  angX i  radical  number 
式,식,법,,"式 - 식 (form, style)
","工, 弋",6,5,6,"style,  system,  formula,  rule "
植,식,심을,,"植物 - 식물 (plant)
","十, 木, 目",7,6,12,"plant,  trees,  plants;  grow "
識,식,알,,"意識 - 의식 (sense)
","戈, 日, 立, 言, 音",5II,4II,19,"recognize,  understand,  know "
息,식,숨쉴,,"消息 - 소식 (news)
","心, 自",4II,3II,10,"rest,  put  stop  to,  end,  cease "
飾,식,꾸밀,,"裝飾 - 장식 (ornament)
","ノ, 巾, 食",3II,2,13,"decorate,  ornament,  adorn;  to  deceive "
身,신,몸,,"自身 - 자신 (one's own self, one's own body)
",身,6II,5II,7,"body;  trunk,  hull;  rad.  no. "
申,신,거듭,,"申請 - 신청 (application)
","｜, 日, 田",4II,3II,5,"to  state  to  a  superior,  report;  extend;  th  terrestrial  branch "
神,신,귀신,,"神 - 신 (a god)
","｜, 日, 礼, 田",6II,5II,9,"spirit,  god,  supernatural  being "
臣,신,신하,,"家臣 - 가신 (retainer)
","匚, 臣",5II,4II,6,"minister,  statesman,  official "
信,신,믿을,,"自信 - 자신 (self-confidence)
","化, 言",6II,5II,9,"trust,  believe;  letter "
辛,신,매울/괴로울,,"艱辛- - 간신히 (narrowly, barely)
","十, 立, 辛",3,2,7,"bitter;  toilsome,  laborious;  th  heavenly  stem "
新,신,새,,"新聞 - 신문 (a newspaper)
","八, 十, 斤, 木, 立, 辛",6II,5II,13,"new,  recent,  fresh,  modern "
伸,신,펴다,,"伸張 - 신장 (extension)
","｜, 化, 日, 田",3,2,7,"extend,  stretch  out,  open  up;  trust "
晨,신,새벽,,,"日, 辰",3,2,11,"early  morning,  daybreak "
愼,신,삼갈,,"愼重 - 신중 (prudence)
","八, 匕, 忙, 目",3II,2,13,"act  with  care,  be  cautious "
失,실,잃을,,"失敗 - 실패 (failure)
","ノ, 二, 人, 大",6,5,,"lose;  make  mistake,  neglect "
室,실,집,,"化粧室 - 화장실 (bathroom)
","厶, 土, 宀, 至",8,6II,9,"room,  home,  house,  chamber "
實,실,열매,,"事實 - 사실 (truth)
","一, 宀, 田, 貝",5II,4II,14,"real,  true,  solid,  honest "
心,심,마음,,"關心 - 관심 (interest)
",心,7,6,4,"heart;  mind,  intelligence;  soul "
甚,심,심할,,"甚- - 심하다 (to be extreme, intense)
","一, 儿, 甘",3II,2,9,great  extent;  considerably 
深,심,깊을,,"深刻- - 심각하다 (to be serious, grave)
","儿, 冖, 汁, 木",4II,3II,11,"deep;  depth;  far;  very,  extreme "
尋,심,찾을,,,"口, 寸, 工, ヨ",3,2,12,"seek,  search,  look  for;  ancient "
審,심,살필,,"審査 - 심사 (examination)
","宀, 田, 米, 釆",3II,2,15,"examine,  investigate;  judge "
十,십,열,,"十 - 십 (10)
",十,8,6II,,"ten,  tenth;  complete;  perfect "
兒,아,아이,,"幼兒 - 유아 (infant)
","儿, 臼",5II,4II,,"son,  child,  oneself;  final  part "
我,아,나,,"自我 - 자아 (self)
","亅, 戈, 手",3II,2,7,"our,  us,  i,  me,  my,  we "
牙,아,어금니,,"齒牙 - 치아 (tooth)
",牙,3II,2,,"tooth,  molars,  teeth;  serrated "
芽,아,싹,,"萌芽 - 맹아 (germination)
","艾, 牙",3II,2,7,"bud,  sprout,  shoot "
雅,아,맑을/우아할,,"優雅 - 우아 (refinement)
","牙, 隹",3II,2,12,"elegant,  graceful,  refined "
亞,아,버금,,"亞麻 - 아마 (flax)
","一, 二",3II,2,8,sia;  second;  used  as  a  prefix  to  names 
餓,아,주릴,,"餓死 - 아사 (starvation)
","亅, 戈, 手, 食",3,2,15,hungry;  greedy  for;  hunger 
惡,악,나쁠,"""미워할 오""로도 읽는다.","惡魔 - 악마 (fiend)
","一, 二, 心",5II,4II,12,"evil,  wicked,  bad,  foul "
岳,악,"큰, 산",,,"一, 山, 斤",3,2,8,mountain  peak;  surname 
安,안,편안할,,"安全 - 안전 (security)
","女, 宀",7II,6,6,"peaceful,  tranquil,  quiet "
案,안,책상/안건,,"案 - 안 (a plan, proposal, suggestion)
","女, 宀, 木",5,4,10,"table,  bench;  legal  case "
顔,안,얼굴,,"顔色 - 안색 (countenance)
","亠, 八, 厂, 彡, 立, 貝, 頁",3II,2,18,"face,  facial  appearance "
眼,안,눈,,"眼鏡 - 안경 (spectacle)
","目, 艮",4II,3II,11,"eye;  eyelet,  hole,  opening "
岸,안,언덕,,"海岸 - 해안 (coast)
","厂, 山, 干",3II,2,8,"bank,  shore;  beach,  coast "
雁,안,기러기,,,"化, 厂, 隹",3,2,12,wild  goose 
謁,알,뵐,,,"勹, 匕, 日, 言",3,2,16,"visit,  pay  respects  to "
暗,암,어두울,,"暗號 - 암호 (password)
","日, 立, 音",4II,3II,13,"dark;  obscure;  in  secret,  covert "
巖,암,바위,,,"厂, 口, 山, 攵, 耳",3II,2,22,"cliff,  precipice;  cave,  grotto "
壓,압,누를,,"壓力 - 압력 (stress)
","厂, 土, 日, 月, 犬",4II,3II,17,press;  oppress;  crush;  pressure 
押,압,누를/억압할,,"押收 - 압수 (confiscation)
","｜, 扎, 日, 田",3,2,8,"mortgage,  pledge;  deposit;  to  pawn;  to  arrest,  detain,  guard "
仰,앙,우러를,,"信仰 - 신앙 (faith)
","化, 卩",3II,2,6,"raise  the  head  to  look;  look  up  to,  rely  on,  admire "
央,앙,가운데,,"中央 - 중앙 (the middle; the heart)
","一, ノ, 冖, 大",3II,2,5,"center,  conclude,  run  out;  beg "
殃,앙,재앙,,,"人, 冂, 大, 歹",3,2,9,"misfortune,  disaster,  calamity "
愛,애,사랑,,"愛顧 - 애고 (patronage)
","冖, 夂, 心, 爪",6,5,13,"love,  be  fond  of,  like "
哀,애,슬플,,"哀歌 - 애가 (elegy)
","亠, 口, 衣",3II,2,9,"sad,  mournful,  pitiful;  pity "
涯,애,물가,,,"厂, 土, 汁",3,2,11,"shore,  bank,  water' s  edge "
厄,액,액,,,"卩, 厂",3,2,4,"adversity,  difficulty,  distress "
額,액,이마,,"金額 - 금액 (amount of money)
","口, 夂, 宀, 貝, 頁",4,3,18,"forehead;  tablet,  plaque;  fixed "
也,야,어조사,,,"｜, 乙, 匕, 也",3,2,3,also;  classical  final  particle  of  strong  affirmation  or  identity 
夜,야,밤,,"夜間 - 야간 (nighttime)
","亠, 化, 夕",6,5,8,"night,  dark;  in  night;  by  night "
野,야,들,,"內野 - 내야 (infield)
","亅, 矛, 里",6,5,11,"open  country,  field;  wilderness "
耶,야,어조사,,,"邦, 耳",3,2,8,used  in  transliteration 
弱,약,약할,,"弱- - 약하다 (to be weak)
","冫, 弓",6II,5II,10,"weak;  fragile,  delicate "
若,약,같을,,"若干 - 약간 (somewhat)
","一, ノ, 口, 艾",3II,2,8,"if,  supposing,  assuming;  similar "
約,약,맺을,,"約 - 약 (about, approximately)
","丶, 勹, 糸",5II,4II,9,"treaty,  agreement,  covenant "
藥,약,약,,"藥 - 약 (medicine)
","幺, 艾, 木, 白",6II,5II,18,"drugs,  pharmaceuticals,  medicine "
躍,약,뛸,,"活躍 - 활약 (activity)
","口, ヨ, 足, 隹",3,2,21,"skip,  jump,  frolic "
羊,양,양,,"羊 - 양 (a sheep, ram)
","八, 王, 羊",4II,3II,6,"sheep,  goat;  angX i  radical "
洋,양,"큰, 바다",,"洋食 - 양식 (raising, farming, culture)
","八, 汁, 王, 羊",6,5,9,"ocean,  sea;  foreign;  western "
養,양,기를,,"養殖 - 양식 (culture)
","八, 王, 羊, 食",5II,4II,14,"raise,  rear,  bring  up;  support "
揚,양,날릴,,"抑揚 - 억양 (modulation)
","一, 扎, 日, 勿",3II,2,12,"scatter,  spread;  praise "
陽,양,볕,,"太陽 - 태양 (sun)
","一, 阡, 日, 勿",6,5,11,male'  principle;  light;  sun 
讓,양,사양할,,"辭讓 - 사양하다 (to deny or give something up out of humility)
","一, ｜, 亠, 口, 衣, 言",3II,2,24,"allow,  permit,  yield,  concede "
壤,양,흙,,"平壤 - 평양 (capital of North Korea)
","一, ｜, 亠, 口, 土, 衣",3II,2,20,"soil,  loam,  earth;  rich "
樣,양,모양,,"多樣- - 다양하다 (to be various, diverse)
","丶, 八, 木, 水, 王, 羊",4,3,15,"shape,  form,  pattern,  style "
楊,양,버들,,,"一, 日, 木, 勿",3,2,13,"willow,  poplar,  aspen;  surname "
魚,어,물고기,,"魚市場 - 어시장 (fish market)
","杰, 田, 魚",5,4,11,fish;  surname;  angX i  radical 
漁,어,"고기, 잡을",,"漁船 - 어선 (fishing boat)
","汁, 杰, 田, 魚",5,4,14,to  fish;  seize;  pursue;  surname 
於,어,어조사,,,"个, 方",3,2,8,"in,  at,  on;  interjection  alas! "
語,어,말씀,,"英語 - 영어 (the English language)
","一, 口, 言",7,6,14,"language,  words;  saying,  expression "
御,어,어거할,,"制御 - 제어 (control)
","ノ, 卩, 彳, 止",3II,2,12,"drive,  ride;  chariot;  manage "
億,억,억,,"億 - 억 (one hundred million)
","化, 心, 日, 立, 音",5,4,15,hundred  million;  many 
憶,억,생각할,,"記憶 - 기억 (remembrance)
","忙, 心, 日, 立, 音",3II,2,16,"remember,  reflect  upon;  memory "
抑,억,누를/억압할,,"抑制 - 억제 (suppression)
","卩, 扎",3II,2,7,"press  down,  repress;  curb,  hinder "
言,언,말씀,,"言及 - 언급 (reference)
",言,6,5,7,"words,  speech;  speak,  say "
焉,언,어찌,,,"一, 止, 杰",3,2,11,"thereupon,  then;  how?  why?  where? "
嚴,엄,엄할,,"嚴格 - 엄격 (austerity)
","厂, 口, 攵, 耳",4,3,19,"strict,  rigorous,  rigid;  stern "
業,업,일,,"企業 - 기업 (enterprise)
","一, ｜, 八, 木, 王, 羊, 耒",6II,5II,13,"profession,  business,  trade "
余,여,나,,,"一, 亅, 二, 个, 八, 示",3,2,7,"my,  me;  surname;  surplus "
餘,여,남을,,"餘技 - 여기 (avocation)
","亅, 二, 个, 八, 干, 食",Could not retrieve reading level.,3II,15,"surplus,  excess,  remainder "
如,여,같을,,"如前- - 여전히 (as it used to be, as before; still, persistently, even still)
","口, 女",4II,3II,6,"if,  supposing;  as  if;  like,  as "
汝,여,너,,,"女, 汁",3,2,6,you 
與,여,줄,,"參與 - 참여 (participation)
","一, 八, 臼",4,3,13,"and;  with;  to;  for;  give,  grant "
予,여,나,,,"一, 亅, マ",3,2,4,me;  to  give 
輿,여,수레,,"輿論 - 여론 (public opinion, public sentiment towards sth)
","八, 臼, 車",3,2,17,"cart,  palanquin;  public  opinion "
亦,역,또,,"亦是 - 역시 (as expected, likewise)
","ノ, 亅, 亠, 八",3II,2,6,"also,  too;  likewise "
易,역,바꿀,"""쉬울 이""로도 읽는다.","貿易 - 무역 (trade)
","勹, 日, 勿",4,3,8,change;  easy 
逆,역,거스를,,"逆轉 - 역전 (reversal)
","八, 込, 屮",4II,3II,9,"disobey,  rebel;  rebel,  traitor "
譯,역,풀/번역할,,"飜譯 - 번역 (translation)
","亠, 十, 土, 立, 買, 言, 辛",3II,2,20,translate;  decode;  encode 
驛,역,역참,,"驛 - 역 (a railroad station, depot)
","亠, 十, 立, 買, 辛, 馬",3II,2,23,relay  station 
役,역,부릴,,"役割 - 역할 (role)
","彳, 殳",3II,2,7,"service;  a  servant,  laborer;  to  serve "
疫,역,전염병,,"檢疫 - 검역하다 (quarantine)
","殳, 疔",3II,2,9,"epidemic,  plague,  pestilence "
域,역,지경,,"地域 - 지역 (region)
","口, 土, 戈",4,3,11,"district,  region,  boundary;  land "
然,연,그러할,,"自然 - 자연 (nature)
","夕, 杰, 犬",7,6,12,"yes,  certainly;  pledge,  promise "
煙,연,연기,,"煙氣 - 연기 (smoke, fume)
","土, 火, 西",4II,3II,13,"smoke,  soot;  opium;  tobacco,  cigarettes "
硏,연,갈,,"硏究 - 연구 (research)
",,4II,3II,11,grind 
延,연,늘일,,"延期 - 연기 (postponement, deferment)
","一, 廴, 止",4,3,6,"delay,  postpone,  defer "
燃,연,탈,,"燃料 - 연료 (fuel)
","夕, 火, 杰, 犬",4,3,16,"burn;  light  fire,  ignite "
燕,연,제비,,,"匕, 口, 艾, 杰, 爿",3II,2,16,"swallow  bird) comfort,  enjoy "
沿,연,따를,,"沿岸 - 연안 (coast)
","八, 口, 汁",3II,2,8,"follow  course,  go  along "
鉛,연,납,,"鉛筆 - 연필 (pencil)
","八, 口, 金",4,3,13,lead  plumbum 
宴,연,잔치,,"酒宴 - 주연 (drinking bout)
","女, 宀, 日",3II,2,10,"to  entertain,  feast;  a  feast,  banquet "
軟,연,연할,,"軟水 - 연수 (soft water)
","欠, 車",3II,2,11,"soft,  flexible,  pliable;  weak "
演,연,펼,,"公演 - 공연 (a public performance)
","八, 宀, 汁, 田",4II,3II,14,"perform,  put  on;  exercise "
緣,연,인연,,"因緣 - 인연 (cause and occasion)
",,4,3,15,"hem,  margin;  reason,  cause;  karma,  fate "
熱,열,더울,,"熱 - 열 (heat)
","丶, 儿, 九, 土, 杰",5,4,15,hot;  heat;  fever;  restless;  zeal 
悅,열,기쁠,,,,3II,2,10,pleased 
閱,열,볼/검열할,,,,3,2,15,"examine,  inspect,  review,  read "
炎,염,불꽃,,"炎症 - 염증 (inflammation)
",火,3II,2,8,"flame,  blaze;  hot "
染,염,물들,,"汚染 - 오염 (pollution)
","九, 汁, 木",3II,2,9,dye;  be  contagious;  infect 
鹽,염,소금,,"鹽酸 - 염산 (hydrochloric acid)
","十, 囗, 皿, 臣, 鹵",3II,2,24,variant  of  salt 
葉,엽,잎,,"葉書 - 엽서 (a postcard)
","艾, 木, 世",5,4,12,"leaf,  petal;  page  of  book;  period "
永,영,길,,"永遠 - 영원히 (forever)
","丶, 水",6,5,5,"long,  perpetual,  eternal,  forever "
英,영,꽃부리,,"英語 - 영어 (the English language)
","ノ, 大, 艾",6,5,8,"petal,  flower,  leaf;  brave,  a  hero;  ngland,  nglish "
迎,영,맞을,,"歡迎 - 환영 (reception)
","卩, 込",4,3,7,"receive,  welcome,  greet "
榮,영,영화로울,,"榮光 - 영광 (glory)
","冖, 木, 火",4II,3II,14,"glory,  honor;  flourish,  prosper "
泳,영,헤엄칠,,"水泳 - 수영 (swimming)
","丶, 汁, 水",3,2,8,dive;  swim 
詠,영,읊을,,,"丶, 水, 言",3,2,12,"sing,  hum,  chant "
營,영,경영할,,"運營- - 운영하다 (manage, administer)
","冖, 口, 火",4,3,16,"encampment,  barracks;  manage "
影,영,그림자,,"影響 - 영향 (influence)
","亠, 口, 小, 彡, 日",3II,2,15,"shadow;  image,  reflection;  photograph "
映,영,비출,,"映畵 - 영화 (a movie)
","ノ, 大, 日",4,3,9,project;  reflect  light 
藝,예,재주,,"藝術 - 예술 (art)
","丶, 二, 儿, 厶, 九, 土, 艾",4II,3II,18,"art;  talent,  ability;  craft "
豫,예,미리,,"豫定 - 예정 (program)
","｜, 亅, 勹, マ, 口, 矛, 豕",4,3,15,beforehand 
譽,예,기릴,,"名譽 - 명예 (honor)
","八, 臼, 言",3II,2,20,"fame,  reputation;  praise "
銳,예,날카로울,,,,3,2,15,"sharp,  keen,  acute,  pointed "
五,오,다섯,,"五 - 오 (five)
","一, 二",8,6II,4,five;  surname 
吾,오,나,,,"一, 口, 五",3,2,7,"i,  my,  our;  resist,  impede "
悟,오,깨달을,,"覺悟 - 각오 (determination, resolve)
","一, 口, 忙",3II,2,10,"to  apprehend,  realize,  become  aware "
午,오,낮,,"午後 - 오후 (afternoon)
","ノ, 十, 干",7II,6,4,noon;  th  terrestrial  branch 
誤,오,그르칠,,"誤傳 - 오전 (misinformation)
","八, 口, 言",4II,3II,14,"err,  make  mistake;  interfere "
烏,오,까마귀,,,"杰, 鳥",3II,2,10,"crow,  rook,  raven;  black,  dark "
汚,오,더러울,,"汚染 - 오염 (pollution)
","一, 汁",3,2,6,"filthy,  dirty,  impure,  polluted "
嗚,오,슬플/흐느낄,,,"口, 杰, 鳥",3,2,13,"sound  of  crying,  sobbing "
娛,오,즐길,,"娛樂 - 오락 (entertainment)
",,3,2,10,"pleasure,  enjoyment,  amusement "
傲,오,오만할,,"傲慢 - 오만 (insolence)
","化, 土, 攵, 方",3,2,12,"proud,  haughty,  overbearing "
玉,옥,구슬,,"鋼玉 - 강옥 (corundum)
","丶, 王",4II,3II,5,"jade,  precious  stone,  gem "
屋,옥,집,,"屋上 - 옥상 (rooftop)
","厶, 土, 尸, 至",5,4,9,"house;  room;  building,  shelter "
獄,옥,옥,,"地獄 - 지옥 (hell)
","犯, 犬, 言",3II,2,14,"prison,  jail;  case;  lawsuit "
溫,온,따뜻할,,"溫度 - 온도 (temperature)
",,6,5,13,"lukewarm,  warm;  tepid,  mild "
翁,옹,늙은이,,"信天翁 - 신천옹 (albatross)
","八, 冫, 厶, 羽",3,2,10,"old  man;  father,  father- in- law "
擁,옹,낄/안을,,"抱擁 - 포옹 (embrace)
","亠, 扎, 隹",3,2,16,"embrace,  hug,  squeeze;  crowd "
瓦,와,기와,,,"一, 瓦",3II,2,4,tile;  earthenware  pottery;  girl 
臥,와,누울,,,"人, 臣",3,2,8,lie  down;  crouch 
完,완,완전할,,"完全 - 완전 (perfection)
","二, 儿, 宀, 元",5,4,7,"complete,  finish,  settle;  whole "
緩,완,느릴/느슨할,,,"一, 夂, 爪, 糸",3II,2,15,"slow,  leisurely;  to  postpone,  delay "
曰,왈,가로,,,曰,3,2,4,say;  angX i  radical 
王,왕,임금,,"王 - 왕 (king)
",王,8,6II,4,"king,  ruler;  royal;  surname "
往,왕,갈,,"往診 - 왕진 (house call)
","丶, 彳, 王",4II,3II,8,"go,  depart;  past,  formerly "
外,외,바깥,,"海外 - 해외 (overseas)
","卜, 夕",8,6II,5,"out,  outside,  external;  foreign "
畏,외,두려워할,,,"一, 田, 衣",3,2,9,"fear,  dread,  awe,  reverence "
要,요,요긴할,,"必要 - 필요 (need, requirement,necessity)
","女, 西",5II,4II,9,"necessary,  essential;  necessity "
腰,요,허리,,"腰部 - 요부 (waist)
","女, 月, 西",3,2,13,waist;  kidney 
搖,요,흔들,,"動搖 - 동요 (excitement)
","凵, 夕, 扎, 缶",3,2,13,"wag,  swing,  wave;  shake;  scull "
遙,요,멀,,,"丶, 込, 夕, 缶",3,2,13,"far  away,  distant,  remote "
謠,요,노래,,"歌謠 - 가요 (a song)
","凵, 夕, 缶, 言",4II,3II,17,"sing;  folksong,  ballad;  rumor "
欲,욕,"하고자, 할",,"意欲 - 의욕 (volition, will, desire, drive)
","个, 八, 口, 欠, 谷",3II,2,11,"desire,  want,  long  for;  intend "
浴,욕,목욕할,,"沐浴 - 목욕 (bathing)
","个, 八, 口, 汁, 谷",5,4,10,"bathe,  wash;  bath "
慾,욕,욕심,,"慾望欲望 - 욕망 (appetite)
","个, 八, 口, 心, 欠, 谷",3II,2,15,"lust,  desire,  passion;  appetite "
辱,욕,욕될,,"辱 - 욕 (an insult)
","厂, 寸, 衣, 辰",3II,2,10,"humiliate,  insult,  abuse "
用,용,쓸,,"使用 - 사용 (use)
",用,6II,,5,"use,  employ,  apply,  operate;  use "
容,용,얼굴,,"內容 - 내용 (matter)
","个, 八, 口, 宀, 穴, 谷",4II,3II,10,"looks,  appearance;  figure,  form "
勇,용,날랠,,"勇氣 - 용기 (nerve)
","力, マ, 田",6II,5II,9,"brave,  courageous,  fierce "
庸,용,떳떳할,,"中庸 - 중용 (moderation)
","广, ヨ, 用, 聿",3,2,11,"usual,  common,  ordinary,  mediocre "
于,우,어조사,,"于先 - 우선 (firstly, first of all; before everything)
","亅, 二",3,2,3,"in,  on,  at;  go  to;  surname "
宇,우,집,,"宇宙 - 우주 (universe)
","亅, 宀, 干",3II,2,6,"house;  building,  structure;  eaves "
右,우,오른,,"左右 - 좌우하다 (influence)
","一, ノ, 口",7II,6,5,right;  west;  right- wing 
友,우,벗,,"友情 - 우정 (friendship)
","一, ノ, 又",5II,4II,4,"friend,  companion;  fraternity "
牛,우,소,,"牛乳 - 우유 (milk)
",牛,Could not retrieve reading level.,4,4,"cow,  ox,  bull;  angX i  radical9"
雨,우,비,,"雨傘 - 우산 (an umbrella)
",雨,5II,4II,8,rain;  rainy;  angX i  radical 
憂,우,근심,,"憂慮 - 우려 (worry,anxiety,fear)
","一, 冖, 夂, 心, 自",3II,2,15,"sad,  grieved;  grief,  melancholy "
又,우,또,,,又,3,2,2,"and,  also,  again,  in  addition "
尤,우,더욱,,,"丶, 尢, 尤",3,2,4,"especially,  particularly "
遇,우,만날,,"境遇 - 경우 (a case; an instance)
","冂, 厶, 込, 田, 禹",4,3,,"meet,  come  across,  encounter "
羽,우,깃,,,"冫, 羽",3II,2,6,"feather,  plume;  wings;  rad. "
郵,우,우편/역참,,"郵便 - 우편 (postal service)
","一, ｜, ノ, 邦",4,3,10,"postal,  mail;  post  office "
愚,우,어리석을,,"愚鈍 - 우둔 (stupidity)
","冂, 厶, 心, 田, 禹",3II,2,13,"stupid,  doltish,  foolish "
偶,우,짝,,"配偶者 - 배우자 (spouse)
","化, 冂, 厶, 田, 禹",3II,2,11,"accidentally,  coincidently;  an  idol "
優,우,넉넉할,,"俳優 - 배우 (player)
","一, 化, 冖, 夂, 心, 白",4,3,17,"superior,  excellent;  actor "
云,운,이를,,,"一, 二, 厶",3,2,4,"say,  speak;  clouds "
雲,운,구름,,"星雲 - 성운 (nebula)
","一, 二, 厶, 雨",5II,4II,12,clouds;  unnan  province 
運,운,옮길,,"運動 - 운동 (exercise)
","冖, 込, 車",6II,5II,12,"luck,  fortune;  ship,  transport "
韻,운,운,,"頭韻 - 두운 (alliteration)
","口, 日, 立, 貝, 音",3II,2,19,rhyme;  vowel 
雄,웅,수컷,,"英雄 - 영웅 (hero)
","一, ノ, 厶, 隹",5,4,12,male  of  species;  hero;  manly 
元,원,으뜸,,"元來 - 원래 (originally)
","二, 儿, 元",5II,4II,4,first;  dollar;  origin;  head 
原,원,언덕,,"原因 - 원인 (source)
","厂, 小, 白",5,4,10,"source,  origin,  beginning "
願,원,원할,,"願- - 원하다 (to want)
","厂, 小, 白, 貝, 頁",5,4,19,"desire,  want;  wish;  ambition "
遠,원,멀,,"永遠 - 영원히 (forever)
","込, 口, 土, 衣",6,5,13,"distant,  remote,  far;  profound "
園,원,동산,,"公園 - 공원 (park)
","口, 囗, 土, 衣",6,5,13,"garden;  park,  orchard "
怨,원,원망할,,"怨恨 - 원한 (grudge)
","卩, 夕, 心",4,3,9,"hatred,  enmity,  resentment "
圓,원,둥글,,"圓 - 원 (a circle)
","口, 囗, 貝",4II,3II,13,"circle;  round,  circular;  complete "
員,원,인원/관원,,"議員 - 의원 (a member)
","口, 貝",4II,3II,10,"member;  personnel,  staff  member "
源,원,근원,,"水源 - 수원 (fountainhead)
","厂, 小, 汁, 白",4,3,13,"spring;  source,  head;  surname "
援,원,도울,,"支援 - 지원 (backing)
","ノ, 又, 扎, 爪",4,3,12,"aid,  assist;  lead;  cite "
院,원,집,,"病院 - 병원 (hospital)
","二, 儿, 宀, 阡, 元",5,4,9,"courtyard,  yard,  court;  school "
月,월,달,,"月 - 월 (a month)
",月,8,6II,4,moon;  month;  angX i  radical 
越,월,넘을,,"卓越 - 탁월 (excellence)
","土, 戈, 走",3II,2,12,"exceed,  go  beyond;  the  more "
位,위,자리,,"位 - 위 (position, grade, rank)
","化, 立",5,4,7,"throne;  position,  post;  rank,  status;  seat "
危,위,위태할,,"危害 - 위해 (injury)
","勹, 厂",4,3,6,"dangerous,  precarious;  high "
爲,위,할,,"行爲 - 행위 (deed)
","尸, 杰, 爪",4II,3II,12,"do,  handle,  govern,  act;  be "
偉,위,클/훌륭할,,"偉大 - 위대 (greatness)
","化, 口, 韋",5II,4II,11,"great,  robust;  extraordinary "
威,위,위엄,,"威脅 - 위협 (menace, threat, intimidation)
","ノ, 厂, 女, 戈",4,3,9,"pomp,  power;  powerful;  dominate "
胃,위,위장,,"胃 - 위 (the stomach)
","月, 田",3II,2,9,stomach;  gizzard  of  fowl 
謂,위,이를,,"所謂 - 소위 (what is called for)
","月, 田, 言",3II,2,16,"say,  tell;  call,  name;  be  called "
圍,위,에워쌀,,"雰圍氣 - 분위기 (atmosphere, surroundings)
","口, 囗, 韋",4,3,12,"surround,  encircle,  corral "
緯,위,씨,,"緯線 - 위선 (parallel)
","口, 糸, 韋",3,2,15,woof;  parallels  of  latitude 
